id,nome
1,ONE OK ROCK
2,Skillet
3,Avril Lavigne
4,Sueco & Warren Zeiders
5,Highly Suspect
6,All Time Low
7,Paramore
8,Zero 9:36
9,Starbuck
10,Marshall Crenshaw
11,My Chemical Romance
12,Ed Sheeran
13,Imagine Dragons
14,Red Hot Chili Peppers
15,Thirty Seconds to Mars
16,Bruno Mars
17,Shinedown
18,Barns Courtney
19,Meet Me @ The Altar
20,GOJIRA
21,Slipknot
22,jxdn
23,White Reaper
24,Disturbed
25,Halestorm
26,Megadeth
27,The Goo Goo Dolls
28,Weezer
29,Death Cab for Cutie
30,Panic! At the Disco
31,Rival Sons
32,The Smiths
33,The Rolling Stones
34,H.e.a.t
35,Yeah Yeah Yeahs
36,AB's
37,Creed
38,Lana Del Rey
39,Boz Scaggs
40,Creedence Clearwater Revival
41,Whitesnake
42,Maroon 5
43,Coldplay
44,3 Doors Down
45,U2
46,Chris Isaak
47,Jason Mraz
48,The Script
49,Matt Maeson
50,AC/DC
51,Tokyo Fan Club
52,Martin HERRS
53,Davi
54,"Charlie May, Natacha Atlas, Dimitri Nakov & Roman Rai"
55,Barış Manço
56,Bloodbound
57,Adele
58,Dino Lenny
59,Randall Jones & Four Candles
60,Living Colour
61,Lopezhouse
62,Breaking Benjamin
63,Type O Negative
64,Junior Wells
65,Zoo Brazil
66,Sleeping With Sirens
67,Island Hill
68,STARSET
69,Evanescence
70,The Romantics
71,Mike Viola
72,Meshuggah
73,blink-182
74,"Captain Mustache, John Digweed & Nick Muir"
75,Pig&Dan
76,LINKIN PARK
77,Britney Spears
78,Ultimate Fakebook
79,Oniris
80,Wojtek Szumański
81,"Franky Wah, John Digweed & Nick Muir"
82,Five Finger Death Punch
83,Zach Bryan
84,Aubrey Fry
85,The Smashing Pumpkins
86,Karpov
87,Wide Waters
88,The Black Keys
89,Elliott Smith
90,Under This
91,Janet Jackson
92,Ben Spencer & Buraki
93,Soel
94,Richard Marx
95,Bon Jovi
96,The Velvet Underground
97,Big Thief
98,Wallows
99,Three Days Grace
100,Rammstein
101,The Cranberries
102,The Boomtown Rats
103,Mykol & Victor Calderone
104,Kenny Loggins
105,Miles Atmospheric
106,twenty one pilots
107,Limp Bizkit
108,Queen
109,Avenged Sevenfold
110,Iggy & The Stooges
111,Kelis
112,Cage the Elephant
113,The Darkness
114,Theory of a Deadman
115,Bush
116,Elvis Presley
117,Tom Waits
118,One Direction
119,Lynyrd Skynyrd
120,Hawkestrel
121,Hinder
122,Highwind
123,Britny Fox
124,Menudo
125,John Cougar Mellencamp
126,Everclear
127,Lifehouse
128,No Doubt
129,Alter Bridge
130,Semisonic
131,The Wallflowers
132,Toadies
133,Fuel
134,Ghost
135,L.S. Dunes
136,Buffalo Daughter
137,A Day to Remember
138,ILLENIUM & Sueco
139,Fother Muckers
140,Drowning Pool
141,The Plot In You
142,LIVE
143,Hoobastank
144,Elvin Bishop
145,Glass Animals
146,Journey
147,Godsmack
148,Vance Joy
149,Eric Church
150,Soul Asylum
151,My Darkest Days
152,Taylor Swift
153,Get Scared
154,Bob Seger & The Silver Bullet Band
155,Black Veil Brides
156,Eddie Money
157,Jake Owen
158,"Daft Punk, Pharrell Williams & Nile Rodgers"
159,Ciara
160,Hollywood Undead
161,The Band
