usuario_id,musica_id,contagem
1638,19365,36
689,30560,24
1490,8062,17
1684,2991,83
278,7109,39
1251,17940,17
1340,35776,36
1136,23838,89
410,32973,15
478,6408,23
698,37267,65
1439,23797,40
612,31664,45
376,38263,44
957,8634,15
1535,7369,89
711,49872,13
857,28321,18
1980,14385,21
1366,41863,40
1312,17985,24
1859,3832,46
1644,8798,87
1603,4577,28
1410,47966,87
269,39788,50
835,16900,96
1791,19244,79
1657,4450,90
1797,19772,84
303,32512,52
1243,3569,20
1487,22522,76
959,12397,56
1258,30203,29
396,42625,80
1784,25608,10
655,35485,41
1212,950,95
911,24185,33
1047,16954,70
944,11706,5
34,43849,44
605,30042,94
1307,36936,50
554,26501,8
984,26756,84
325,27775,44
1622,15673,25
1612,28677,100
1218,29146,51
179,28090,4
1286,30619,66
1324,23723,58
58,18603,24
1453,48845,17
1659,9415,54
1624,12239,25
1997,16305,20
1115,7194,15
578,25686,68
529,32025,32
117,7774,51
46,19406,95
1259,14902,34
1637,38445,90
1789,49331,54
1172,22368,66
862,40886,15
956,28479,84
316,39718,77
1072,46314,89
899,12643,35
1297,36715,55
243,7124,64
490,43272,72
585,22837,100
838,2012,15
1209,18207,11
144,17469,46
680,10002,95
900,39105,72
1590,1184,94
1488,12982,19
1210,31102,54
1288,18121,81
746,26089,8
493,35545,85
1898,41433,92
1034,25583,54
480,35786,33
1212,22630,38
832,21786,7
1792,48437,44
210,42500,93
228,18167,18
988,28000,6
1739,20979,16
1111,16895,18
35,40259,21
1357,7013,83
98,6511,39
325,47749,13
1828,14253,74
1290,38753,86
959,31773,6
1515,9826,47
910,1064,54
542,40523,44
1588,10654,99
1548,49344,47
1925,34533,24
805,46769,52
760,47647,80
253,5128,91
828,3301,48
1342,22684,80
1912,31482,48
1392,14234,66
1947,25229,23
1810,46344,31
1218,32951,43
501,49018,90
964,15149,34
1297,41383,79
684,4375,58
633,36380,5
786,16461,85
553,17385,35
471,21870,43
150,8284,24
631,46872,54
1770,5451,3
1412,34149,31
762,27615,48
668,31217,84
128,25090,59
1747,49357,93
1176,42142,75
1614,44365,7
1564,29983,14
566,47039,23
345,31494,26
1595,12099,35
283,31219,79
793,7970,34
585,38350,34
794,24841,94
486,9104,16
483,33110,88
397,14830,47
1815,38103,1
379,41411,84
1657,40338,1
1234,46427,60
1571,23341,67
285,39312,26
177,6542,43
1887,29496,64
99,10560,99
943,11710,84
963,9876,22
1647,11633,38
14,26453,34
1815,49141,6
64,48463,85
1810,42891,15
1838,32199,55
637,22867,60
279,314,63
397,32005,72
839,34466,3
1920,13642,91
1867,27365,9
1985,14588,16
1626,27553,8
1268,38092,65
141,48023,55
1990,36050,56
1616,35094,86
1002,10932,96
845,11208,82
283,18030,13
598,45314,54
1395,27988,12
1738,15933,97
1466,32283,84
1393,19773,21
1201,44226,95
1586,13706,64
703,25593,9
1538,16127,63
1295,41649,20
1250,22665,2
613,33066,2
1081,582,23
195,17993,33
701,29101,100
1186,46051,99
557,20851,65
1767,16861,37
1770,2466,61
1564,30555,55
33,39875,52
1317,17073,63
1564,8703,75
990,41633,78
1715,30490,73
1026,6847,7
1647,7314,100
1843,9657,73
