usuario_id,musica_id
1089,25388
92,44648
1109,14894
1697,38772
173,26413
432,15680
440,49437
1537,35114
694,12388
226,20646
1525,21885
1287,27237
1939,30410
197,43507
377,40301
351,43017
1515,46049
847,38146
415,28181
1723,24225
649,32742
355,16616
1644,7244
760,49162
1738,26808
1995,48315
926,16759
1098,31540
1518,43279
626,7283
1191,22783
300,18797
1429,18913
555,47522
85,25212
1954,29170
631,29489
971,26889
1149,13600
605,7334
951,35948
550,12158
1609,10510
1509,10873
223,41738
1938,39888
577,37872
1124,28
948,43654
1222,20869
490,31786
1538,42298
772,43412
422,9064
1670,33795
731,34559
1042,43165
1038,43422
709,20300
1026,40406
1028,22897
513,30829
1393,18628
1286,34313
35,26025
1913,34652
1352,39584
753,47358
285,23254
993,16535
1990,34154
244,2874
1660,45144
691,31728
613,9176
1156,45224
54,15084
854,49006
1295,17873
1275,10354
1277,39242
1450,35709
1211,33329
550,11092
1,47221
1023,18789
1782,17824
1425,23083
1473,33652
1157,39801
1602,15109
442,36735
1292,796
635,38419
158,16329
582,29852
1839,15193
1510,14368
304,32498
1516,31481
1435,8965
1047,47943
633,40865
583,38637
1955,250
942,15362
1570,16400
748,6180
1452,33674
464,17114
66,27934
61,16989
68,18775
1789,39952
20,28733
491,889
1906,21852
1716,41229
765,24321
110,43893
1475,37148
669,10930
348,10114
1056,49890
363,29615
1258,28314
43,1379
1757,47604
259,2230
988,31544
1118,25952
334,11878
1236,6062
458,46460
957,22112
182,34699
1861,25871
1648,45688
1569,45338
1875,20205
878,41716
920,16627
594,33032
1114,47026
1669,10297
1661,7770
912,23793
1830,15710
1473,3655
1561,30751
732,37391
1025,1405
1801,18799
1193,33969
1326,24524
1124,3657
352,49660
37,48998
1,6458
602,24686
1924,34889
1720,14161
78,24256
528,17925
1328,34985
391,343
1064,32273
744,47520
1041,49786
520,22738
8,41336
1697,37885
80,16928
1837,28002
1486,5626
1941,3431
8,47127
1221,41139
1644,4133
793,45184
28,16062
174,17954
1924,4450
1765,22493
1939,20217
213,8152
1905,6575
1934,28480
1354,44947
819,11856
730,20579
68,35752
318,14270
1362,27280
1544,1210
1910,40548
1051,34238
972,42259
196,15325
1747,13276
818,46434
935,21322
625,7025
1124,14698
1521,18182
278,41847
758,46928
896,8493
56,31717
882,20519
860,43507
818,23931
1167,21306
771,8057
1290,34985
487,29855
812,30361
1166,47066
212,35198
1160,46763
414,17911
1643,9982
574,13360
967,14686
1710,34248
1042,5255
663,49174
808,3107
79,7810
287,16348
1856,5288
506,34702
1484,20468
1336,45619
