id,titulo,duracao,ano,artista_id,genero_id
1,Let Me Let You Go,180,2022,1,1
2,Psycho in My Head,197,2023,2,1
3,I’m a Mess (feat. YUNGBLUD),187,2022,3,1
4,Ride It Hard,150,2022,4,1
5,Natural Born Killer,196,2022,5,1
6,Sleepwalking,187,2020,6,1
7,This Is Why,207,2022,7,1
8,Stuck in My Ways,174,2022,8,1
9,Drop a Little Rock (2023 Remaster),174,1976,9,1
10,Monday Morning Rock (2023 Remastered Version),213,1983,10,1
11,All I Want for Christmas Is You,224,2004,11,1
12,Perfect,263,2017,12,1
13,Believer,204,2017,13,1
14,Eddie,341,2022,14,1
15,The Kill (Bury Me),231,2005,15,1
16,Locked Out of Heaven,233,2012,16,1
17,Planet Zero,222,2022,17,1
18,Supernatural,167,2022,18,1
19,Say It (To My Face),159,2023,19,1
20,Our Time Is Now,271,2022,20,1
21,The Dying Song (Time to Sing),203,2022,21,1
22,Sober,152,2021,22,1
23,Pages,154,2022,23,1
24,The Foundations of Decay,360,2022,11,1
25,Unstoppable,238,2022,24,1
26,Wicked Ways,206,2022,25,1
27,Peace Sells (2004 Remaster),242,1986,26,1
28,Mine,259,2022,25,1
29,"Yeah, I Like You",264,2022,27,1
30,What Happens After You?,199,2022,28,1
31,Here to Forever,226,2022,29,1
32,Middle of a Breakup,200,2022,30,1
33,Nobody Wants to Die,223,2022,31,1
34,Mercury in Retrograde,129,2022,3,1
35,Yen,285,2022,21,1
36,The News,187,2022,7,1
37,Fog Machine,193,2022,23,1
38,The Shape I'm Takin',215,2022,14,1
39,"Please, Please, Please, Let Me Get What I Want",112,1984,32,1
40,I Want a Dog,168,2022,28,1
41,Moonlight Mile (2009 Mix),357,1971,33,1
42,Beg Beg Beg (2023 remix),182,2024,34,1
43,Maps,219,2003,35,1
44,HEAVY MENTAL ROCK (2023 Remaster),277,1985,36,1
45,Danger Road (2023 remix),194,2024,34,1
46,Who Will Stop The Rain (2023 remix),234,2024,34,1
47,Black Night (2023 remix),268,2024,34,1
48,One Last Breath,239,2001,37,1
49,I Know What It Takes (2023 remix),184,2024,34,1
50,Summertime Sadness,265,2012,38,1
51,Stay (2023 remix),181,2024,34,1
52,Lowdown (2023 Remaster),317,1976,39,1
53,We're Gonna Make It To The End (2023 remix),230,2024,34,1
54,Bad Moon Rising,143,1969,40,1
55,I Can't Look The Other Way (2023 remix),230,2024,34,1
56,Ready to Rock (2023 Remix),267,2008,41,1
57,Cast Away (2023 remix),239,2024,34,1
58,Nobody Loves You (Like I Do) [2023 remix],176,2024,34,1
59,What Lovers Do (feat. SZA),199,2017,42,1
60,Adventure of a Lifetime,263,2015,43,1
61,When I'm Gone,260,2002,44,1
62,With Or Without You,296,1987,45,1
63,Shelter (2023 remix),199,2024,34,1
64,Wicked Game,286,1989,46,1
65,Everybody Wants To Be Someone (2023 remix),201,2024,34,1
66,I Won't Give Up,240,2012,47,1
67,Ready to Rock (2023 Remaster),269,2008,41,1
68,High On Love (2023 remix),166,2024,34,1
69,The Kill (Bury Me),231,2005,15,1
70,Hall of Fame (feat. will.i.am),202,2012,48,1
71,Cut Deep,176,2022,49,1
72,Thunderstruck,293,1990,50,1
73,Heavens Sun (Speakman Remix) [Mixed],263,2023,51,1
74,Paraiso 94 (Mixed),324,2023,52,1
75,Always (Mixed),432,2023,53,1
76,Extasy (Hypnotic Mix) [Mixed],400,2023,54,1
77,2023,449,1975,55,1
78,My Sacrifice,295,2001,37,1
79,Slayer of Kings (Live at Masters of Rock 2023),313,2024,56,1
80,Skyfall,286,2012,57,1
81,Keep On Grooving (Mixed),292,2023,58,1
82,Supernatural,167,2022,18,1
83,Natural Born Killer,196,2022,5,1
84,Mindgrooves (Mixed),368,2023,59,1
85,Victorious,178,2015,30,1
86,Deepest Mind (Mixed),292,2023,53,1
87,Cult of Personality (2023 Remaster),294,1988,60,1
88,Beverly Hills,196,2005,28,1
89,Cut the Cord,222,2015,17,1
90,Motorstellar (Mixed),364,2023,61,1
91,So Cold (Aurora Version),272,2020,62,1
92,Red Water (Christmas Mourning),408,1996,63,1
93,Jingle Bell Rock (2023 Mix),122,2023,64,1
94,Anything You Want (Mixed),318,2023,65,1
95,If You Can't Hang,250,2011,66,1
96,Killer of Fate (Red Axes remix) [Mixed],360,2023,67,1
97,1000 Lives (John Digweed & Nick Muir Remix) [Mixed],466,2023,67,1
98,Here to Forever,226,2022,29,1
99,My Demons,288,2013,68,1
100,Bring Me To Life (Remastered 2023),236,2023,69,1
101,Talking In Your Sleep (2023 Remaster),236,1983,70,1
102,2023 (feat. Space Kuma),234,2023,71,1
103,Bleed (15th Anniversary Remastered 2023 Edition),442,2008,72,1
104,The Feeling (Mixed),206,2023,65,1
105,Tomorrow (Mixed),335,2023,65,1
106,DEVIL,207,2018,17,1
107,Tales from the North (Live at Masters of Rock 2023),271,2024,56,1
108,I Miss You,227,2003,73,1
109,Bleu Cobalt (Mixed),350,2023,74,1
110,Clouds (Mixed),441,2023,75,1
111,Bloodtale (Live at Masters of Rock 2023),90,2024,56,1
112,My December,260,2000,76,1
113,Stuck,182,2023,15,1
114,Till the World Ends,237,2011,77,1
115,Downstairs / Arena Rock (2023 Remastered),176,1998,78,1
116,Sober,152,2021,22,1
117,The Warlock's Trail (Live at Masters of Rock 2023),280,2024,56,1
118,My Sacrifice,295,2001,37,1
119,Bubbles (Mixed),365,2023,79,1
120,Ballada o cyckach (Live),319,2024,80,1
121,Tripchain (Mixed),349,2023,81,1
122,As Tears Go By (Mono Version),165,1965,33,1
123,Lido Shuffle (2023 Remaster),223,1976,39,1
124,Bad Company,262,2009,82,1
125,Miss Jackson (feat. LOLO),192,2013,30,1
126,I Remember Everything (feat. Kacey Musgraves),227,2023,83,1
127,Red Alert (Mixed),394,2023,79,1
128,Topaz (Synthetic remix) [Mixed],531,2023,84,1
129,Fusion (Mixed),360,2023,75,1
130,Disarm (2011 Remaster),196,1993,85,1
131,Seven Goblins,190,2024,86,1
132,Sleepwalking,187,2020,6,1
133,2023,235,2023,87,1
134,Howlin' for You,191,2010,88,1
135,Georgia (2023 Remaster),236,1976,39,1
136,Nosferatu (Live at Masters of Rock 2023),479,2024,56,1
137,Everything Reminds Me Of Her,157,2000,89,1
138,When Fate is Calling (Live at Masters of Rock 2023),270,2024,56,1
139,Moria (Live at Masters of Rock 2023),320,2024,56,1
140,Time To Rock 2023,308,2023,90,1
141,All for You,330,2001,91,1
142,Battle in the Sky (Live at Masters of Rock 2023),334,2024,56,1
143,C4 (Mixed),274,2023,92,1
144,Running On the Moon (Mixed),362,2023,93,1
145,Hazard,316,1991,94,1
146,This Ain't A Love Song,306,1995,95,1
147,Nature (The Morning Factory remix) [Mixed],393,2023,84,1
148,Candy Says,244,1969,96,1
149,Velvet Ring (2023 Remaster),155,2016,97,1
150,Wish Me Luck,203,2020,98,1
151,The Good Life,173,2009,99,1
152,Du hast,235,1997,100,1
153,Zombie,307,1994,101,1
154,Seasons (Animal Print Remix) [Mixed],377,2023,51,1
155,Circles (Marc Romboy Remix) [Mixed],347,2023,51,1
156,Angie (Remastered 2009),272,1973,33,1
157,I Don't Like Mondays,259,1984,102,1
158,Bring Me To Life,235,2003,69,1
159,Push Back (Mixed),272,2023,103,1
160,Painkiller,178,2014,99,1
161,Rise of the Dragon Empire (Live at Masters of Rock 2023),389,2024,56,1
162,Creatures of the Dark Realm (Live at Masters of Rock 2023),263,2024,56,1
163,Taking Over Me (Remastered 2023),228,2003,69,1
164,Tornado Of Souls,322,1990,26,1
165,I’m a Mess (feat. YUNGBLUD),187,2022,3,1
166,Drink with the Gods (Live at Masters of Rock 2023),309,2024,56,1
167,Quasar (Mixed),362,2023,79,1
168,Footloose,220,1984,104,1
169,E' Impossibile (Mixed),381,2023,58,1
170,A New Dawn (Mixed),676,2023,105,1
171,Christmas Saves the Year,212,2020,106,1
172,Behind Blue Eyes,269,2003,107,1
