id,titulo
1,Let Me Let You Go
2,Psycho in My Head
3,I’m a Mess (feat. YUNGBLUD)
4,Ride It Hard
5,Natural Born Killer
6,Sleepwalking
7,This Is Why
8,Stuck in My Ways
9,Drop a Little Rock (2023 Remaster)
10,Monday Morning Rock (2023 Remastered Version)
11,All I Want for Christmas Is You
12,Perfect
13,Believer
14,Eddie
15,The Kill (Bury Me)
16,Locked Out of Heaven
17,Planet Zero
18,Supernatural
19,Say It (To My Face)
20,Our Time Is Now
21,The Dying Song (Time to Sing)
22,Sober
23,Pages
24,The Foundations of Decay
25,Unstoppable
26,Wicked Ways
27,Peace Sells (2004 Remaster)
28,Mine
29,"Yeah, I Like You"
30,What Happens After You?
31,Here to Forever
32,Middle of a Breakup
33,Nobody Wants to Die
34,Mercury in Retrograde
35,Yen
36,The News
37,Fog Machine
38,The Shape I'm Takin'
39,"Please, Please, Please, Let Me Get What I Want"
40,I Want a Dog
41,Moonlight Mile (2009 Mix)
42,Beg Beg Beg (2023 remix)
43,Maps
44,HEAVY MENTAL ROCK (2023 Remaster)
45,Danger Road (2023 remix)
46,Who Will Stop The Rain (2023 remix)
47,Black Night (2023 remix)
48,One Last Breath
49,I Know What It Takes (2023 remix)
50,Summertime Sadness
51,Stay (2023 remix)
52,Lowdown (2023 Remaster)
53,We're Gonna Make It To The End (2023 remix)
54,Bad Moon Rising
55,I Can't Look The Other Way (2023 remix)
56,Ready to Rock (2023 Remix)
57,Cast Away (2023 remix)
58,Nobody Loves You (Like I Do) [2023 remix]
59,What Lovers Do (feat. SZA)
60,Adventure of a Lifetime
61,When I'm Gone
62,With Or Without You
63,Shelter (2023 remix)
64,Wicked Game
65,Everybody Wants To Be Someone (2023 remix)
66,I Won't Give Up
67,Ready to Rock (2023 Remaster)
68,High On Love (2023 remix)
69,The Kill (Bury Me)
70,Hall of Fame (feat. will.i.am)
71,Cut Deep
72,Thunderstruck
73,Heavens Sun (Speakman Remix) [Mixed]
74,Paraiso 94 (Mixed)
75,Always (Mixed)
76,Extasy (Hypnotic Mix) [Mixed]
77,2023
78,My Sacrifice
79,Slayer of Kings (Live at Masters of Rock 2023)
80,Skyfall
81,Keep On Grooving (Mixed)
82,Supernatural
83,Natural Born Killer
84,Mindgrooves (Mixed)
85,Victorious
86,Deepest Mind (Mixed)
87,Cult of Personality (2023 Remaster)
88,Beverly Hills
89,Cut the Cord
90,Motorstellar (Mixed)
91,So Cold (Aurora Version)
92,Red Water (Christmas Mourning)
93,Jingle Bell Rock (2023 Mix)
94,Anything You Want (Mixed)
95,If You Can't Hang
96,Killer of Fate (Red Axes remix) [Mixed]
97,1000 Lives (John Digweed & Nick Muir Remix) [Mixed]
98,Here to Forever
99,My Demons
100,Bring Me To Life (Remastered 2023)
101,Talking In Your Sleep (2023 Remaster)
102,2023 (feat. Space Kuma)
103,Bleed (15th Anniversary Remastered 2023 Edition)
104,The Feeling (Mixed)
105,Tomorrow (Mixed)
106,DEVIL
107,Tales from the North (Live at Masters of Rock 2023)
108,I Miss You
109,Bleu Cobalt (Mixed)
110,Clouds (Mixed)
111,Bloodtale (Live at Masters of Rock 2023)
112,My December
113,Stuck
114,Till the World Ends
115,Downstairs / Arena Rock (2023 Remastered)
116,Sober
117,The Warlock's Trail (Live at Masters of Rock 2023)
118,My Sacrifice
119,Bubbles (Mixed)
120,Ballada o cyckach (Live)
121,Tripchain (Mixed)
122,As Tears Go By (Mono Version)
123,Lido Shuffle (2023 Remaster)
124,Bad Company
125,Miss Jackson (feat. LOLO)
