usuario_id,artista_id
881,3934
1563,11879
1263,5629
788,2210
986,15726
1751,7000
1812,17784
24,17357
1836,15091
1771,584
349,2763
419,15666
644,4286
874,6652
365,5192
693,9700
47,7137
1454,808
468,10796
663,5060
734,16916
1866,17602
1528,12851
1089,8286
103,10600
1059,15680
1390,17114
45,7987
922,16146
937,2293
187,4434
141,3754
1320,8315
1282,665
744,4821
1423,13626
1217,8919
1230,3640
132,9711
1248,3088
1402,238
114,823
1621,5080
1582,5242
1900,13596
1945,2088
1224,16437
562,10796
1876,1105
1904,10280
1225,14938
1010,12686
1642,17886
138,8232
109,14137
93,12950
1480,13537
1613,15681
549,7198
978,5179
840,2005
1319,9771
1778,6529
1723,12015
1144,119
817,4165
1857,7920
1547,10003
631,10536
1391,4489
1879,16708
105,942
1749,5537
381,11761
1208,9907
806,13142
1780,17227
1293,11561
1139,9211
312,17462
1107,1016
1580,16789
429,16836
1352,6029
596,1825
71,14286
401,8365
339,12943
1396,17218
1246,8048
1847,11559
800,10180
849,15706
1012,2941
1790,10017
1261,12253
64,16028
1875,4024
45,4964
611,15848
317,13627
1490,10903
378,17613
362,3714
1232,17873
400,12626
208,16290
619,7746
1698,6018
220,13087
1315,897
1994,2007
1351,13961
670,1703
1730,10638
32,4132
1591,14862
346,4845
1720,14594
1136,8456
1019,13502
591,250
1408,6184
1374,5697
851,13064
390,6966
1764,17700
222,12672
1619,11059
866,14648
1090,5708
1889,10884
1891,10125
213,13916
1151,13912
652,16466
1031,16886
47,8835
946,17422
1257,10
1289,13845
582,13967
1461,12911
1841,7536
1360,17583
1914,15948
1311,16219
827,10630
744,5792
512,4217
1743,7497
559,7240
1614,16744
946,8445
1275,9586
1841,4316
1149,9089
1730,16070
1889,5080
1390,15272
492,8092
574,8889
1197,9322
775,6311
414,10139
296,13492
1192,9118
1954,4036
237,1302
1918,15633
589,16198
118,15616
136,4354
911,11646
351,15395
1933,7213
107,10385
156,12718
851,16090
1399,13151
1303,2333
661,9899
1430,228
157,8211
27,9875
1662,2059
1869,5269
1021,12022
1298,3534
1939,4751
816,12394
1992,17232
534,4631
1818,8024
1883,13877
749,15701
117,10958
1649,1997
1340,9699
1883,11131
552,17245
296,3742
1722,13744
1148,9541
792,6746
873,6472
1827,11966
389,15954
1544,8885
1295,132
1223,15412
1747,1450
68,7085
474,495
75,9960
1935,12317
1006,4442
1294,3462
1837,7684
1883,14271
73,13345
1543,7397
1849,5174
942,8136
674,7923
849,8473
1850,4871
1975,5460
1166,11008
526,9080
1254,10363
919,7295
866,10191
1863,3011
506,6245
751,5551
225,6709
576,3503
1299,2882
1290,1529
1962,15713
433,6359
111,17483
541,9934
980,12889
1528,2358
1284,2680
917,4911
1716,5398
368,16505
1328,3335
834,12808
854,464
1027,863
137,13689
540,13036
439,12424
160,12996
1250,11142
474,17712
1468,6890
1946,8005
1008,13224
60,15102
476,7785
692,6915
1975,12475
1124,2122
884,4971
1092,16277
186,11648
451,15711
1773,4310
1126,10826
1904,5193
1676,3411
794,5194
733,409
804,10784
1015,13168
760,2297
80,875
454,14344
240,15022
1443,1942
1503,12260
1442,15139
1682,5870
185,8369
1704,3745
1504,10241
969,14817
